sid,sname,preview_url,album_art,duration
138339,Carol of the Bells,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e3/a6/75/e3a675ba-f35a-0b22-51f8-d733e045c87a/mzaf_830781460394783916.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music3/v4/b7/a5/af/b7a5af94-a291-410f-ecdb-9b5ce2736111/747313502929.jpg/88x88bb.jpg,134853
138345,Here Comes Santa Claus (Down Santa Claus Lane),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/38/c5/35/38c53510-95c4-2474-5f13-3799f8946deb/mzaf_9180487310392328054.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/80/fb/0a/mzi.xfsqwzrx.jpg/88x88bb.jpg,156093
112821,Silent Night,https://p.scdn.co/mp3-preview/b04e99afba858ccb6985781cff27e87592581649?cid=c97bc8de524748dba7f936ea8307a6c1,https://i.scdn.co/image/ab67616d0000485189cb5355127807607ad96781,140267
246643,Silent Night,,,0
138384,"God Rest Ye Merry Gentlemen (feat. Ashleigh Murray and Casey Cott) [From ""Riverdale""]",,,0
138356,God Rest Ye Merry Gentlemen,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/3a/fe/13/3afe131b-9fb5-cd38-c833-c5038506e12a/mzaf_12126718679717522756.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d00004851873d1337eb34d320c7c71ca7,137266
179071,I Froze - The Black Hood,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/cf/36/55/cf36556d-ebaa-43ca-ce1a-ab9fa6f22157/mzaf_16752425680139257764.plus.aac.p.m4a,https://i.scdn.co/image/ab67616d00004851613a547f786f4e010be5e82b,194453
150327,Can't Get Close to You,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/e7/e3/8e/e7e38eeb-6e8d-41e1-88c3-33074a110b30/mzaf_8427862653648216734.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/30/8d/b3/308db320-dd60-c3be-c3e3-892e246630ff/018736224270_cover.jpg/88x88bb.jpg,227317
246647,Girlhood,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/87/88/d9/8788d928-af14-917e-fe71-16939e63dd64/mzaf_11821317413821450467.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/64/25/60/64256016-b616-917c-ca5f-fba929f64f5c/00602557668797.rgb.jpg/88x88bb.jpg,154420
246644,"Honey, Sugar",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/6d/51/07/6d51079d-2c64-a835-336c-b2cf20cdd00b/mzaf_4941138902782677295.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/39/46/e5/3946e5e7-9f63-3d58-9fb6-c8a0c949ea28/195079745003.jpg/88x88bb.jpg,217987
246645,So Easy To Love,,,0
140226,School Days,,https://i.scdn.co/image/ab67616d00004851934f2cede713579825110776,81600
246646,It's Only Natural,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/f6/8c/f8/f68cf865-8a16-e1ab-cc4a-3438ea55eb70/mzaf_5844846554993808873.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/89/4e/f8/894ef867-0b8c-680f-2905-1b78eafb9d1c/192562091128.jpg/88x88bb.jpg,231111
